order_id,customer_state,seller_state,product_category,price,freight_value,n_items,distance_km,purchase_dow,purchase_month,days_to_next_holiday,is_near_holiday,state_gdp,state_urbanization,review_score,is_late
ord_000000,BA,MG,watches_gifts,139.62,19.46,1,2249.0,0,8,19,0,21000,0.72,4,0
ord_000001,RJ,GO,watches_gifts,49.98,9.41,2,2841.0,2,2,10,0,46000,0.97,4,0
ord_000002,ES,SP,auto,62.99,51.83,2,2277.0,0,11,26,0,30000,0.83,5,0
ord_000003,PR,SP,furniture_decor,81.85,30.55,2,1427.0,4,1,21,0,43000,0.85,4,0
ord_000004,SP,BA,toys,162.99,31.39,3,3111.0,5,10,14,0,58000,0.96,5,0
ord_000005,PA,SC,sports_leisure,86.12,20.57,1,2801.0,4,11,0,1,19000,0.68,2,1
ord_000006,BA,MG,auto,372.87,70.53,1,2288.0,4,12,9,0,21000,0.72,5,0
ord_000007,BA,DF,bed_bath_table,127.89,9.45,1,1453.0,3,8,5,1,21000,0.72,4,0
ord_000008,SP,ES,toys,92.54,7.13,1,2283.0,4,11,22,0,58000,0.96,5,0
ord_000009,RJ,RS,health_beauty,170.71,24.16,1,1483.0,3,12,22,0,46000,0.97,4,0
ord_000010,RJ,PA,garden_tools,450.36,93.91,1,750.0,2,4,12,0,46000,0.97,5,0
ord_000011,PE,SC,auto,16.52,25.41,1,2095.0,3,9,11,0,20000,0.8,4,0
ord_000012,PR,PR,garden_tools,52.65,20.28,3,140.0,0,2,17,0,43000,0.85,1,1
ord_000013,DF,RJ,toys,68.63,6.82,1,1313.0,2,9,13,0,88000,0.97,3,0
ord_000014,RJ,SP,computers_accessories,26.2,3.13,1,2995.0,4,9,14,0,46000,0.97,2,0
ord_000015,SP,SP,sports_leisure,93.91,22.23,1,94.0,5,6,3,1,58000,0.96,5,0
ord_000016,MG,BA,auto,182.16,36.55,2,1990.0,1,2,26,0,32000,0.85,3,0
ord_000017,SP,SC,housewares,115.52,6.89,2,475.0,3,8,8,0,58000,0.96,5,0
ord_000018,DF,SP,garden_tools,151.61,38.35,3,350.0,4,2,11,0,88000,0.97,5,0
ord_000019,RS,RS,toys,49.5,11.75,1,222.0,5,2,10,0,41000,0.85,4,0
ord_000020,BA,SP,toys,152.9,20.71,3,2660.0,1,7,28,0,21000,0.72,3,0
ord_000021,RJ,SP,furniture_decor,112.5,64.54,1,1751.0,1,8,28,0,46000,0.97,5,0
ord_000022,PA,CE,computers_accessories,30.95,3.2,2,368.0,5,5,27,0,19000,0.68,5,0
ord_000023,GO,RJ,computers_accessories,98.17,7.57,2,720.0,1,8,16,0,29000,0.9,1,1
ord_000024,BA,SP,watches_gifts,56.25,8.4,1,913.0,1,8,9,0,21000,0.72,1,1
ord_000025,SP,MG,toys,597.35,113.71,1,2120.0,2,6,3,1,58000,0.96,5,0
ord_000026,RJ,RJ,health_beauty,190.99,41.83,1,135.0,2,8,16,0,46000,0.97,4,0
ord_000027,SP,SC,sports_leisure,107.33,10.54,1,596.0,1,8,22,0,58000,0.96,5,0
ord_000028,SP,PA,bed_bath_table,246.07,60.86,1,1755.0,0,8,20,0,58000,0.96,4,0
ord_000029,PR,RS,housewares,155.62,23.01,2,2822.0,4,10,27,0,43000,0.85,5,0
ord_000030,SC,RS,watches_gifts,31.46,4.73,2,1573.0,1,8,29,0,44000,0.84,5,0
ord_000031,PA,RJ,sports_leisure,298.55,66.19,2,734.0,5,5,1,1,19000,0.68,4,0
ord_000032,SP,MG,toys,24.12,3.17,2,1976.0,2,3,12,0,58000,0.96,5,0
ord_000033,RJ,SP,bed_bath_table,273.15,55.03,1,2995.0,1,4,15,0,46000,0.97,5,0
ord_000034,RJ,SP,garden_tools,114.76,55.23,1,636.0,5,6,17,0,46000,0.97,5,0
ord_000035,SP,ES,watches_gifts,93.67,7.22,1,754.0,0,4,12,0,58000,0.96,5,0
ord_000036,SP,RJ,watches_gifts,48.33,2.73,1,1944.0,0,1,19,0,58000,0.96,4,0
ord_000037,MG,MG,toys,119.55,28.31,3,139.0,4,11,18,0,32000,0.85,5,0
ord_000038,SP,SP,furniture_decor,148.6,68.19,2,68.0,0,9,15,0,58000,0.96,5,0
ord_000039,PR,DF,auto,139.51,71.55,2,2367.0,6,12,3,1,43000,0.85,5,0
ord_000040,RJ,SP,toys,113.53,20.98,1,727.0,2,11,8,0,46000,0.97,1,0
ord_000041,DF,RJ,health_beauty,83.52,14.96,1,2825.0,2,10,4,1,88000,0.97,5,0
ord_000042,SC,ES,auto,162.21,35.82,3,2163.0,2,12,10,0,44000,0.84,5,0
ord_000043,SP,RJ,toys,68.44,12.21,2,1732.0,4,9,16,0,58000,0.96,5,0
ord_000044,DF,CE,furniture_decor,90.33,41.17,1,1044.0,2,12,11,0,88000,0.97,5,0
ord_000045,DF,SP,auto,132.09,59.8,2,2184.0,0,11,14,0,88000,0.97,1,1
ord_000046,RJ,SC,sports_leisure,97.26,18.14,1,2906.0,0,7,8,0,46000,0.97,5,0
ord_000047,SP,PA,watches_gifts,24.53,1.64,1,412.0,3,10,20,0,58000,0.96,1,0
ord_000048,PR,MG,watches_gifts,114.5,17.26,1,1388.0,0,7,15,0,43000,0.85,4,0
ord_000049,SP,PR,auto,114.98,56.26,1,3013.0,3,4,21,0,58000,0.96,1,1
ord_000050,SP,RJ,housewares,107.37,23.19,1,1410.0,6,2,1,1,58000,0.96,5,0
ord_000051,SP,BA,auto,84.6,35.27,1,404.0,3,4,24,0,58000,0.96,3,0
ord_000052,BA,PE,sports_leisure,73.36,8.84,2,594.0,5,10,23,0,21000,0.72,2,0
ord_000053,PR,SC,garden_tools,99.13,35.52,1,2303.0,3,11,22,0,43000,0.85,5,0
ord_000054,SC,CE,sports_leisure,49.15,3.72,1,2330.0,1,12,0,1,44000,0.84,4,0
ord_000055,BA,RS,auto,258.0,45.65,1,634.0,3,11,28,0,21000,0.72,3,1
ord_000056,RJ,MG,toys,134.38,28.73,1,936.0,4,2,19,0,46000,0.97,1,1
ord_000057,MG,SP,watches_gifts,123.65,9.31,1,1935.0,6,4,17,0,32000,0.85,5,0
ord_000058,SP,SC,bed_bath_table,213.28,28.46,2,2291.0,2,8,1,1,58000,0.96,2,1
ord_000059,SP,GO,computers_accessories,43.23,5.72,1,755.0,0,4,23,0,58000,0.96,1,0
ord_000060,PR,PR,health_beauty,63.79,15.73,3,291.0,3,3,28,0,43000,0.85,3,0
ord_000061,MG,SP,auto,59.22,36.32,2,1930.0,2,12,27,0,32000,0.85,3,0
ord_000062,MG,MG,furniture_decor,128.21,47.57,1,21.0,5,10,17,0,32000,0.85,5,0
ord_000063,BA,BA,garden_tools,41.7,40.76,1,27.0,2,7,14,0,21000,0.72,5,0
ord_000064,RS,CE,auto,172.31,43.52,1,2965.0,4,2,12,0,41000,0.85,4,0
ord_000065,MG,SP,health_beauty,125.36,15.32,2,2852.0,5,10,3,1,32000,0.85,1,1
ord_000066,MG,SP,toys,56.08,4.86,2,1235.0,4,7,11,0,32000,0.85,5,0
ord_000067,SP,RJ,furniture_decor,27.78,32.93,1,2817.0,2,1,25,0,58000,0.96,4,0
ord_000068,SP,SP,health_beauty,122.71,8.05,1,168.0,2,9,28,0,58000,0.96,5,0
ord_000069,RJ,AM,sports_leisure,18.03,4.16,2,3147.0,0,7,3,1,46000,0.97,3,0
ord_000070,SP,RJ,housewares,51.85,4.63,2,3102.0,1,8,5,1,58000,0.96,5,0
ord_000071,RJ,MG,garden_tools,88.31,33.43,1,2089.0,0,5,10,0,46000,0.97,5,0
ord_000072,ES,SP,watches_gifts,83.17,12.22,2,1657.0,1,7,13,0,30000,0.83,2,1
ord_000073,SP,RJ,sports_leisure,57.52,6.55,1,713.0,0,4,23,0,58000,0.96,2,0
ord_000074,SP,AM,sports_leisure,164.88,13.74,1,1838.0,4,5,17,0,58000,0.96,4,0
ord_000075,SP,MG,furniture_decor,45.97,42.57,3,1455.0,4,4,6,0,58000,0.96,5,0
ord_000076,SP,SP,toys,56.84,6.02,2,96.0,5,3,4,1,58000,0.96,4,0
ord_000077,PR,SP,housewares,105.78,20.93,1,560.0,3,11,6,0,43000,0.85,2,0
ord_000078,MG,PA,bed_bath_table,106.02,20.7,2,2721.0,2,4,5,1,32000,0.85,4,0
ord_000079,BA,AM,bed_bath_table,32.64,3.23,1,3105.0,1,1,24,0,21000,0.72,5,0
ord_000080,PR,SP,bed_bath_table,101.92,10.76,1,907.0,0,6,3,1,43000,0.85,5,0
ord_000081,RJ,RS,auto,62.66,45.87,1,2135.0,1,9,10,0,46000,0.97,5,0
ord_000082,DF,SP,housewares,59.29,13.17,2,2626.0,3,9,25,0,88000,0.97,2,1
ord_000083,SP,MG,computers_accessories,120.12,23.77,3,1908.0,6,7,15,0,58000,0.96,4,0
ord_000084,SP,SP,toys,41.15,4.55,3,345.0,2,1,1,1,58000,0.96,1,0
ord_000085,SP,DF,health_beauty,79.35,4.65,1,1784.0,4,5,7,0,58000,0.96,4,0
ord_000086,SC,CE,bed_bath_table,92.23,15.82,1,1085.0,1,8,5,1,44000,0.84,4,0
ord_000087,RJ,SP,sports_leisure,121.5,17.64,2,1668.0,5,11,10,0,46000,0.97,4,0
ord_000088,SP,RJ,sports_leisure,53.96,6.41,1,1715.0,0,8,15,0,58000,0.96,3,1
ord_000089,MG,SP,toys,140.8,25.24,2,1036.0,1,10,23,0,32000,0.85,5,0
ord_000090,SP,SP,garden_tools,169.24,73.76,1,269.0,6,11,28,0,58000,0.96,4,0
ord_000091,PR,SP,watches_gifts,166.53,38.42,3,2091.0,3,8,25,0,43000,0.85,4,0
ord_000092,RJ,SP,auto,30.78,29.45,3,1374.0,5,7,15,0,46000,0.97,5,0
ord_000093,RJ,MA,computers_accessories,163.32,39.5,3,1523.0,1,6,14,0,46000,0.97,5,0
ord_000094,SP,SP,sports_leisure,168.31,21.73,2,78.0,5,5,11,0,58000,0.96,3,0
ord_000095,RS,ES,furniture_decor,294.21,58.74,1,1599.0,1,11,15,0,41000,0.85,4,0
ord_000096,RJ,SP,health_beauty,34.82,4.89,2,1831.0,3,2,4,1,46000,0.97,5,0
ord_000097,SP,MG,auto,237.16,75.32,1,1260.0,2,12,20,0,58000,0.96,4,0
ord_000098,SP,RJ,watches_gifts,17.55,3.69,2,2673.0,6,8,3,1,58000,0.96,5,0
ord_000099,PA,CE,toys,172.45,40.97,3,2992.0,0,9,8,0,19000,0.68,1,0
ord_000100,PE,SP,sports_leisure,196.42,30.14,3,1816.0,6,8,24,0,20000,0.8,4,0
ord_000101,PR,SP,toys,167.31,20.85,1,2363.0,6,6,22,0,43000,0.85,4,0
ord_000102,SP,SC,furniture_decor,23.74,18.85,2,2999.0,2,10,10,0,58000,0.96,5,0
ord_000103,PA,SC,computers_accessories,226.83,38.87,3,857.0,3,12,28,0,19000,0.68,5,0
ord_000104,BA,PR,watches_gifts,423.95,79.94,1,850.0,5,4,14,0,21000,0.72,5,0
ord_000105,SC,SP,auto,39.33,46.25,1,511.0,0,1,5,1,44000,0.84,2,1
ord_000106,RJ,SP,housewares,75.28,6.7,1,1582.0,1,5,28,0,46000,0.97,3,1
ord_000107,SP,DF,toys,52.79,7.35,1,1260.0,3,11,11,0,58000,0.96,4,0
ord_000108,SP,RS,housewares,148.29,9.62,3,1926.0,5,2,11,0,58000,0.96,5,0
ord_000109,PE,RS,computers_accessories,66.62,10.26,1,1608.0,6,4,3,1,20000,0.8,5,0
ord_000110,RJ,SP,auto,154.65,48.4,2,852.0,3,10,6,0,46000,0.97,3,1
ord_000111,SP,SP,auto,84.48,55.79,3,141.0,6,6,3,1,58000,0.96,4,0
ord_000112,SP,CE,furniture_decor,106.6,58.37,3,384.0,6,7,14,0,58000,0.96,3,1
ord_000113,MG,SC,garden_tools,95.59,41.71,1,1858.0,0,2,17,0,32000,0.85,5,0
ord_000114,SP,SP,computers_accessories,18.17,1.32,3,246.0,4,10,15,0,58000,0.96,5,0
ord_000115,ES,CE,toys,102.59,14.3,2,626.0,6,6,8,0,30000,0.83,5,0
ord_000116,BA,RS,housewares,24.5,2.11,3,491.0,1,7,0,1,21000,0.72,1,1
ord_000117,SC,SP,toys,28.6,1.68,2,2372.0,2,3,7,0,44000,0.84,5,0
ord_000118,RJ,RJ,garden_tools,229.95,55.3,2,157.0,2,1,28,0,46000,0.97,5,0
ord_000119,RS,SC,computers_accessories,146.07,16.47,1,2211.0,4,4,11,0,41000,0.85,5,0
ord_000120,RS,RJ,toys,137.73,32.18,1,2665.0,3,3,7,0,41000,0.85,4,0
ord_000121,PR,MG,housewares,103.85,24.43,1,1750.0,5,7,20,0,43000,0.85,4,0
ord_000122,SP,SC,toys,374.22,88.68,2,686.0,2,4,14,0,58000,0.96,2,0
ord_000123,RJ,SP,health_beauty,101.87,5.39,1,2082.0,6,12,8,0,46000,0.97,4,0
ord_000124,SP,CE,toys,88.89,13.67,1,508.0,1,4,8,0,58000,0.96,5,0
ord_000125,MG,RJ,housewares,86.48,4.64,1,2670.0,2,3,15,0,32000,0.85,2,1
ord_000126,SP,RJ,computers_accessories,204.63,34.97,2,2508.0,5,4,29,0,58000,0.96,1,1
